Name,Age,Mark,Grade,Hobbies
Mai Trần,20,8.3,B,
Vy Phạm,22,hello,D,
Thi Hoàng,19,9.5,A,
Minh Hoàng,,9,,Gaming
Thi Hoàng,25,4.1,D,Drawing
Tuấn Nguyễn,19,,D,
Quỳnh Nguyễn,20,9.2,,Cycling
Hùng Phạm,18,5.6,C,Reading
Việt Hoàng,21,4.6,D,
Tú Nguyễn,,5.9,C,Drawing
Việt Phạm,18,,D,
Sơn Nguyễn,25,6.6,C,Reading
Đức Nguyễn,23,9.8,A,
Long Vũ,22,7.9,B,Travel
Khánh Lê,,8.3,B,Photography
Phát Hoàng,24,4.6,,Reading
Minh Nguyễn,,9,A,Swimming
Thủy Nguyễn,21,5.5,C,Cycling
Thảo Nguyễn,22,6.3,C,Photography
Hải Lê,,6,,Cooking
Thủy Hoàng,25,4,,Drawing
Nhật Trần,22,9.8,,
Phong Phạm,25,5.6,,Swimming
Yến Hoàng,18,6.4,,Gaming
Hùng Lê,20,9.7,A,Football
Long Lê,,4.5,D,Swimming
Nhi Phạm,24,5.7,,Music
Hạnh Nguyễn,24,,D,
Hùng Hoàng,20,,A,
Uyên Nguyễn,,7.5,B,Cycling
Tú Vũ,20,,,Music
Hiếu Trần,25,7.6,,Football
Sơn Vũ,22,6,C,
Kiên Lê,21,,C,Football
Nhật Lê,19,6.7,C,Music
Nam Hoàng,19,9.8,,Music
Trang Phạm,21,5.7,C,Photography
Chi Phạm,19,8.1,B,Photography
Quân Hoàng,22,6.6,C,Drawing
Mai Vũ,24,7.7,B,Reading
Ngân Trần,21,,D,
Khoa Hoàng,22,7.2,B,Swimming
Thu Phạm,,9.6,A,Swimming
Dũng Lê,,4.3,,Music
Hoa Trần,21,4.4,D,Travel
Tuấn Trần,19,5.3,D,Cycling
Hùng Phạm,20,6.2,C,Music
Yến Trần,,6.3,,Music
Thi Nguyễn,23,8.2,A,Travel
Thi Nguyễn,23,8.2,A,Travel
